chapter,public_path,canonical_source,sha256,purpose,status,data_boundary
Chapter 3,00_THESIS_WRITING_GUIDE/03_Data_and_Methodology/event_year_distribution.png,results/audit_20260919/Figures/event_year_distribution.png,5e5076f67cc32d37a1e89270e5ef35f08f293b73255a9f868606d1a821bbf5c7,事件按年份分布,validated public copy,aggregate result or research document
Chapter 3,00_THESIS_WRITING_GUIDE/03_Data_and_Methodology/sample_audit.xlsx,outputs/research_audit_20260919/sample_audit.xlsx,59faec2ef523979444fa92b72e89fd04b14ab9a336de249685fc50bfd9a27176,样本、股票、行业和年份审计,validated public copy,aggregate result or research document
Chapter 3,00_THESIS_WRITING_GUIDE/03_Data_and_Methodology/data_quality_report.md,results/baseline_v1/data_quality_report.md,0a336feb14810284250a68fe8b6b52b46d888f600a264b3014959d46f9e9d363,变量缺失、范围与异常值审计,validated public copy,aggregate result or research document
Chapter 3,00_THESIS_WRITING_GUIDE/03_Data_and_Methodology/hfq_final_report.md,results/baseline_v1/hfq_final_report.md,cd41ddd17270f1c764fcbe6fd0e558c9b80c7ab0f4cda020f123c0266103c2bb,冻结样本简要报告,validated public copy,aggregate result or research document
Chapter 3,00_THESIS_WRITING_GUIDE/03_Data_and_Methodology/hfq_final_summary.json,results/baseline_v1/hfq_final_summary.json,ecd9e1b424e8385628d710240085f2a3674198d5fb984242794404769aefabed,冻结样本机器可读摘要,validated public copy,aggregate result or research document
Chapter 3,00_THESIS_WRITING_GUIDE/03_Data_and_Methodology/model_sample_counts.csv,results/baseline_v1/model_sample_counts.csv,9e0073b0a42acc8143b9f0f50288cccb21d1c4695b532fb9d50f316a1d9b4deb,各模型有效样本量,validated public copy,aggregate result or research document
Chapter 3,00_THESIS_WRITING_GUIDE/03_Data_and_Methodology/return_window_completeness.csv,results/baseline_v1/return_window_completeness.csv,1ee4b96850613fdba1d8a2cdd5626743d2d8966fe84ddc49f9e111f0cadd11c5,收益窗口缺失情况,validated public copy,aggregate result or research document
Chapter 4.1,00_THESIS_WRITING_GUIDE/04_Empirical_Results/01_Descriptive_Statistics/Table1.xlsx,results/paper_v1/Tables/Table1.xlsx,97fd0904e574207e2a9b8ff6798b6cab505ff3a85d89e72a728d32acb0f3163b,论文描述统计表,validated public copy,aggregate result or research document
Chapter 4.1,00_THESIS_WRITING_GUIDE/04_Empirical_Results/01_Descriptive_Statistics/descriptive_statistics.xlsx,results/baseline_v1/descriptive_statistics.xlsx,ffcce4bac8b2901a29f056618ab899ff8548dfd676c556bde4c0a2ba88a149cf,完整描述统计,validated public copy,aggregate result or research document
Chapter 4.2,00_THESIS_WRITING_GUIDE/04_Empirical_Results/02_Main_OLS_Regression/Table2.xlsx,results/paper_v1/Tables/Table2.xlsx,5e000da6fd16bab0020ae024ecdf5b49aff88844fc8b7222f65ec37b1a905f99,论文主回归表,validated public copy,aggregate result or research document
Chapter 4.2,00_THESIS_WRITING_GUIDE/04_Empirical_Results/02_Main_OLS_Regression/regression_results.xlsx,results/baseline_v1/regression_results.xlsx,d3fb586c416ef80e491fba4dee0b64e76dfb7c26d79f8234c27d8ff918837ccc,完整OLS加HC3结果,validated public copy,aggregate result or research document
Chapter 4.3,00_THESIS_WRITING_GUIDE/04_Empirical_Results/03_RVOL_Group_Analysis/Table3.xlsx,results/paper_v1/Tables/Table3.xlsx,772d9c7bff92519df4de5e760f080df67d1b2dd70cb0ce1b51809060f7a2a220,论文RVOL三分组表,validated public copy,aggregate result or research document
Chapter 4.3,00_THESIS_WRITING_GUIDE/04_Empirical_Results/03_RVOL_Group_Analysis/Figure1.png,results/paper_v1/Figures/Figure1.png,489e535866454f0a40c05036c25660a1a5661b7d3a3786138be55c6a376c94af,RVOL组别与R20均值,validated public copy,aggregate result or research document
Chapter 4.3,00_THESIS_WRITING_GUIDE/04_Empirical_Results/03_RVOL_Group_Analysis/Figure1.pdf,results/paper_v1/Figures/Figure1.pdf,f6b496ebc836600e8a3e3b194065608f58229e7bc9b4bda45728a86cbde3562b,Figure1论文排版版本,validated public copy,aggregate result or research document
Chapter 4.3,00_THESIS_WRITING_GUIDE/04_Empirical_Results/03_RVOL_Group_Analysis/Figure2.png,results/paper_v1/Figures/Figure2.png,f2796853173012f4e68e550dbbe6e899c4f2b3966a8450c1584d91f195c6a326,RVOL组别与R60均值,validated public copy,aggregate result or research document
Chapter 4.3,00_THESIS_WRITING_GUIDE/04_Empirical_Results/03_RVOL_Group_Analysis/Figure2.pdf,results/paper_v1/Figures/Figure2.pdf,31582d1cd961d0a4db2a5849c83f1d2eef6d8c9b653d04ed42e5e938263df77a,Figure2论文排版版本,validated public copy,aggregate result or research document
