数据ID,名称,路径规则,数据层级,作用,来源,构造原理,生成脚本,输入,参数版本,行数或文件数,股票数,时间范围,hash或manifest,同步位置,状态,能否重建,能否删除,备注
D001,东方财富HFQ原始缓存,data/raw/eastmoney/hfq/**,raw,保留接口原始响应和下载证据,Eastmoney through AKShare,按股票和下载批次缓存，不改写,src/csi300_events/eastmoney_layer.py,外部接口,hfq formal,"1,654 files",827,varies,vault manifest,DataVault/raw,frozen_source,yes,no,不能进入公开Git历史
D002,东方财富原始价格缓存,data/raw/eastmoney/raw/**,raw,价格源审计与重建输入,Eastmoney,原始下载缓存,src/csi300_events/eastmoney_layer.py,外部接口,source audit,"1,654 files",827,varies,vault manifest,DataVault/raw,frozen_source,yes,no,与正式HFQ处理层分离
D003,BaoStock状态历史,data/raw/baostock/status/**,raw,ST、停牌和交易状态过滤依据,BaoStock,按股票保存日状态,src/csi300_events/acquisition.py,BaoStock API,formal,"3,129 files",multiple,varies,vault manifest,DataVault/raw,frozen_source,yes,no,事件质量控制输入
D004,沪深300历史成员,data/raw/baostock/hs300_snapshots/**; data/raw/membership/**,raw,确认事件日前一日指数成员身份,BaoStock plus candidate dates,历史快照与候选日期组合,src/csi300_events/acquisition.py,外部成员数据,formal,49 files,multiple,varies,vault manifest,DataVault/raw,frozen_source,yes,no,候选日期来源风险需披露
D005,数据覆盖记录,data/raw/coverage/**,metadata,记录每只股票缓存覆盖范围,project generated,下载后写入覆盖元数据,src/csi300_events/refresh_inputs.py,D001-D004,formal,827 files,827,varies,vault manifest,DataVault/raw,validated,yes,no,用于发现数据缺口
D006,正式HFQ处理层,data/processed/eastmoney/hfq/**,processed,正式事件识别的股票日线输入,D001-D003,标准化后复权OHLCV并合并状态,src/csi300_events/formal_pipeline.py,D001-D003,hfq_final,827 files,827,2013-10-24 onward,vault manifest,DataVault/processed,frozen_input,yes,no,不在GitHub上传行情记录
D007,交易日历,data/processed/trading_calendar.csv,processed,定义t+h收益和事件间隔,827只股票日期并集,股票日期去重并集，不是交易所官方日历,src/csi300_events/formal_pipeline.py,D006,hfq_final,one file,n.a.,varies,vault manifest,DataVault/processed,validated,yes,no,论文需披露定义
D008,最终事件池v1,outputs/hfq_final/final_event_pool_v1.csv,frozen,193个主规格事件的唯一事件池,formal screening,30%困境、120-252日横盘、0.5%突破、60日冷却,src/csi300_events/hfq_final_sample.py,"D004,D006,D007",baseline_v1,193,160,2016-02-23 to 2026-03-10,6e8485a4716caa6035bf0616d0b4dd9b7b91da8adf7c611053933460f836a889,DataVault/frozen,frozen,yes,never,后续分析不得重新筛选
D009,最终分析数据v1,outputs/hfq_final/final_analysis_dataset_v1.csv,frozen,一事件一行的baseline分析输入,D008 plus D006,加入RVOL及既有未来收益，不插值不填0,analysis_pipeline.py,"D006,D008",baseline_v1,193,160,2016-02-23 to 2026-03-10,94d52af2f33639cc336a6967d3fecfdccc2a2fc3f8b6ae265d116ae457ce0f76,DataVault/frozen,frozen,yes,never,论文实证主数据
D010,市场与行业审计源,outputs/research_audit_20260919/sources/**,external,市场调整收益和当前行业集中度诊断,BaoStock,CSI300日线与当前行业快照,outputs/research_audit_20260919/audit_pipeline.py,external API,audit_20260919,multiple,multiple,2015-2026,vault manifest,DataVault/external_sources,validated,yes,no,当前行业不能当历史行业
D012,固定120日旧方案,../_obsolete_csi300_fixed120_20260906/**,archive,保存旧事件定义与历史尝试,legacy project,固定120日及旧换手率方案,legacy scripts,legacy data,deprecated,39 files,n.a.,legacy,vault manifest,DataVault/archive,deprecated,partial,no,不能与adaptive baseline混报
D013,FYP课程与格式资料,../BNBU*; ../01_*; ../02_*; ../03_*; ../Coding; ../STAT4004*,reference,论文格式、课程和方法参考,university and user files,原样保存,none,external documents,reference,multiple,n.a.,n.a.,vault manifest,DataVault/external_sources,reference,no,no,与实证证据链分开
D014,既有输出完整快照,outputs/**,archive,保留迁移前全部结果和诊断输出,project generated,原路径逐文件复制,multiple,D006-D010,20260924,all output files,n.a.,n.a.,vault manifest,DataVault/archive,archived,mixed,no,正式子集另存results
D015,独立trend-volume项目,../trend_volume_research/**,archive,防止与当前FYP混淆,separate project,原样归档,separate scripts,separate data,separate,86 files,n.a.,n.a.,vault manifest,DataVault/archive,separate,yes,no,不进入当前论文结论
